,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum,yearID,playerID,Primary
17107,98,200,22,42,8,1,3,22.0,2.0,2.0,19,49.0,0.0,2.0,0.0,2.0,10.0,1.0,64.0,41.0,1222.0,78.0,4.0,0.0,0.0,0.0,0.0,0.0,1950000.0,414000.0,2125500.0,451260.00000000006,2125500.0,0.21,0.305,0.2825112107623318,1.0,2005,7,2011,spilbry01,OF
17116,59,228,33,62,13,0,7,28.0,5.0,3.0,25,48.0,0.0,7.0,1.0,2.0,7.0,2.0,59.0,58.0,1564.0,112.0,178.0,11.0,41.0,0.0,0.0,0.0,2367500.0,300000.0,3073015.0,389400.0,3073015.0,0.2719298245614035,0.42105263157894735,0.35877862595419846,0.9634551495016611,2001,4,2004,spiveju01,2B
17117,77,259,37,60,15,1,7,24.0,9.0,3.0,29,83.0,2.0,3.0,1.0,1.0,3.0,3.0,70.0,67.0,1782.0,127.0,179.0,7.0,41.0,0.0,0.0,0.0,2125000.0,316000.0,2666875.0,396579.99999999994,2666875.0,0.23166023166023167,0.3783783783783784,0.3150684931506849,0.9776357827476039,2001,5,2005,spiveju01,2B
17124,138,504,63,115,29,4,14,48.0,0.0,1.0,51,102.0,0.0,6.0,0.0,1.0,10.0,1.0,129.0,129.0,3361.0,106.0,202.0,18.0,19.0,0.0,0.0,0.0,1900000.0,150000.0,2901300.0,229050.0,2901300.0,0.22817460317460317,0.38492063492063494,0.30604982206405695,0.9447852760736196,1991,7,1997,spraged02,3B
17125,132,469,57,104,25,0,20,58.0,1.0,2.0,26,90.0,2.0,13.0,0.0,2.0,16.0,5.0,129.0,126.0,3340.0,111.0,194.0,26.0,10.0,0.0,0.0,0.0,2350000.0,170000.0,3534400.0,255680.0,3534400.0,0.22174840085287847,0.40298507462686567,0.2803921568627451,0.9214501510574018,1991,8,1998,spraged02,3B
17146,146,531,94,137,26,3,38,102.0,2.0,7.0,89,124.0,6.0,2.0,0.0,1.0,8.0,2.0,140.0,139.0,3641.0,247.0,13.0,5.0,1.0,0.0,0.0,0.0,1950000.0,200000.0,2868449.9999999995,294200.0,2868449.9999999995,0.2580037664783427,0.5329566854990584,0.36597110754414125,0.9811320754716981,1992,8,1999,stairma01,OF
17147,143,476,74,108,26,0,21,81.0,5.0,2.0,78,122.0,4.0,1.0,1.0,6.0,7.0,2.0,104.0,96.0,2541.0,187.0,5.0,4.0,1.0,0.0,0.0,0.0,3050000.0,200000.0,4340150.0,284600.0,4340150.0,0.226890756302521,0.41386554621848737,0.3333333333333333,0.9795918367346939,1992,9,2000,stairma01,OF
17148,128,340,48,85,21,0,17,61.0,2.0,3.0,52,76.0,7.0,7.0,1.0,3.0,4.0,3.0,112.0,93.0,2345.0,547.0,52.0,4.0,38.0,0.0,0.0,0.0,3200000.0,200000.0,4428800.0,276800.0,4428800.0,0.25,0.46176470588235297,0.3582089552238806,0.9933665008291874,1992,10,2001,stairma01,1B
17155,121,337,46,85,12,1,13,49.0,1.0,1.0,42,90.0,9.0,5.0,0.0,3.0,10.0,3.0,19.0,17.0,371.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1625000.0,390000.0,1849249.9999999998,443819.99999999994,1849249.9999999998,0.2522255192878338,0.4094955489614243,0.34108527131782945,1.0,1992,17,2008,stairma01,OF
17156,99,103,15,20,4,0,5,17.0,0.0,0.0,23,30.0,3.0,3.0,0.0,0.0,0.0,1.0,15.0,12.0,282.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,1625000.0,400000.0,1857375.0,457200.0,1857375.0,0.1941747572815534,0.3786407766990291,0.35658914728682173,1.0,1992,18,2009,stairma01,OF
17183,121,397,73,107,20,1,24,69.0,2.0,0.0,69,62.0,3.0,5.0,0.0,2.0,8.0,1.0,105.0,98.0,2540.0,654.0,19.0,10.0,3.0,18.0,94.0,19.0,2300000.0,122667.0,3594900.0000000005,191728.521,3594900.0000000005,0.2695214105793451,0.5062972292191436,0.38266384778012685,0.9853587115666179,1986,11,1996,stanlmi02,C
17184,125,347,61,103,25,0,16,65.0,0.0,1.0,54,72.0,4.0,6.0,0.0,8.0,13.0,4.0,58.0,39.0,1148.0,354.0,24.0,2.0,34.0,2.0,13.0,3.0,2100000.0,150000.0,3206700.0,229050.0,3206700.0,0.2968299711815562,0.5072046109510087,0.3927710843373494,0.9947368421052631,1986,12,1997,stanlmi02,1B
17185,145,497,74,127,25,0,29,79.0,3.0,1.0,82,129.0,5.0,7.0,0.0,7.0,12.0,4.0,36.0,35.0,923.0,280.0,18.0,1.0,28.0,0.0,0.0,0.0,1800000.0,170000.0,2707200.0,255680.0,2707200.0,0.25553319919517103,0.48088531187122735,0.3642495784148398,0.9966555183946488,1986,13,1998,stanlmi02,1B
17186,136,427,59,120,22,0,19,72.0,0.0,0.0,70,94.0,3.0,11.0,0.0,4.0,8.0,1.0,111.0,100.0,2677.0,830.0,60.0,11.0,71.0,0.0,0.0,0.0,3500000.0,200000.0,5148499.999999999,294200.0,5148499.999999999,0.2810304449648712,0.46604215456674475,0.392578125,0.9877913429522752,1986,14,1999,stanlmi02,1B
17187,90,282,33,67,12,0,14,46.0,0.0,0.0,44,65.0,0.0,1.0,1.0,3.0,4.0,3.0,58.0,52.0,1375.0,410.0,44.0,3.0,44.0,0.0,0.0,0.0,3500000.0,200000.0,4980500.0,284600.0,4980500.0,0.2375886524822695,0.42907801418439717,0.3393939393939394,0.9934354485776805,1986,15,2000,stanlmi02,1B
17195,145,539,89,155,31,1,37,105.0,13.0,1.0,94,170.0,24.0,3.0,0.0,2.0,16.0,1.0,143.0,142.0,3787.0,319.0,7.0,6.0,1.0,0.0,0.0,0.0,6500000.0,500000.0,6727499.999999999,517499.99999999994,6727499.999999999,0.287569573283859,0.5547309833024119,0.3949843260188088,0.9819277108433735,2010,5,2014,stantmi03,OF
17196,74,279,47,74,12,1,27,67.0,4.0,2.0,34,95.0,6.0,2.0,0.0,3.0,5.0,1.0,71.0,71.0,1877.0,149.0,6.0,3.0,3.0,0.0,0.0,0.0,6500000.0,507500.0,6721000.0,524755.0,6721000.0,0.26523297491039427,0.6057347670250897,0.34591194968553457,0.9810126582278481,2010,6,2015,stantmi03,OF
17197,119,413,56,99,20,1,27,74.0,0.0,0.0,50,140.0,5.0,4.0,0.0,2.0,6.0,1.0,106.0,106.0,2758.0,215.0,5.0,4.0,0.0,0.0,0.0,0.0,9000000.0,507500.0,9189000.0,518157.49999999994,9189000.0,0.2397094430992736,0.4891041162227603,0.326226012793177,0.9821428571428571,2010,7,2016,stantmi03,OF
17227,128,438,48,122,20,1,12,53.0,2.0,3.0,45,58.0,3.0,1.0,0.0,3.0,20.0,2.0,129.0,117.0,3047.0,598.0,72.0,10.0,10.0,7.0,68.0,53.0,2050000.0,109000.0,3581349.9999999995,190423.0,3581349.9999999995,0.2785388127853881,0.410958904109589,0.34496919917864477,0.9852941176470589,1986,7,1992,steinte01,C
17228,104,389,47,111,19,1,10,43.0,3.0,3.0,25,65.0,1.0,3.0,0.0,1.0,13.0,2.0,101.0,94.0,2462.0,524.0,47.0,7.0,18.0,4.0,62.0,34.0,2815000.0,109000.0,4777055.0,184972.99999999997,4777055.0,0.2853470437017995,0.41645244215938304,0.33253588516746413,0.9878892733564014,1986,8,1993,steinte01,C
17229,103,369,51,105,21,2,11,57.0,2.0,1.0,26,62.0,4.0,0.0,1.0,6.0,10.0,2.0,99.0,94.0,2380.0,597.0,59.0,1.0,10.0,4.0,49.0,38.0,2800000.0,109000.0,4631200.0,180286.00000000003,4631200.0,0.2845528455284553,0.44173441734417346,0.3266832917705736,0.9984779299847792,1986,9,1994,steinte01,C
17230,114,406,43,113,26,1,15,65.0,1.0,3.0,25,74.0,4.0,3.0,1.0,4.0,15.0,2.0,113.0,107.0,2774.0,686.0,57.0,6.0,11.0,3.0,60.0,39.0,4200000.0,109000.0,6757800.0,175381.0,6757800.0,0.27832512315270935,0.458128078817734,0.3219178082191781,0.9919893190921228,1986,10,1995,steinte01,C
17231,145,514,79,140,25,1,35,100.0,0.0,1.0,49,115.0,5.0,6.0,0.0,2.0,16.0,2.0,138.0,130.0,3421.0,732.0,46.0,7.0,7.0,6.0,83.0,34.0,4200000.0,122667.0,6564600.000000001,191728.521,6564600.000000001,0.2723735408560311,0.5291828793774319,0.3415061295971979,0.9910828025477707,1986,11,1996,steinte01,C
17232,122,447,60,111,27,1,12,54.0,6.0,1.0,35,106.0,2.0,1.0,0.0,4.0,14.0,2.0,118.0,113.0,2994.0,657.0,51.0,6.0,4.0,9.0,59.0,29.0,2850000.0,150000.0,4351950.0,229050.0,4351950.0,0.2483221476510067,0.39373601789709173,0.30184804928131415,0.9915966386554622,1986,12,1997,steinte01,C
