,playerID,yearID,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,Primary,salary,Annual Average,AnnualPercentChange,Mult2017,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum
32,abreubo01,1998,151,497,68,155,29,6,17,74.0,19.0,10.0,84,133.0,14.0,0.0,4.0,4.0,6.0,1.0,146.0,139.0,3781.0,272.0,17.0,8.0,0.0,0.0,0.0,0.0,OF,180000.0,489.8,1.60%,1.504,170000.0,270720.0,255680.0,270720.0,0.3118712273641851,0.4969818913480885,0.40854700854700854,0.9730639730639731,1996,3
33,abreubo01,1999,152,546,118,183,35,11,20,93.0,27.0,9.0,109,113.0,8.0,3.0,0.0,4.0,13.0,1.0,146.0,145.0,3803.0,260.0,8.0,3.0,0.0,0.0,0.0,0.0,OF,400000.0,500.6,2.20%,1.4709999999999999,200000.0,588400.0,294200.0,588400.0,0.33516483516483514,0.5494505494505495,0.44561933534743203,0.988929889298893,1996,4
34,abreubo01,2000,154,576,103,182,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,1.0,152.0,150.0,3992.0,337.0,13.0,4.0,2.0,0.0,0.0,0.0,OF,2933333.0,517.5,3.40%,1.423,200000.0,4174132.859,284600.0,4174132.859,0.3159722222222222,0.5538194444444444,0.4161764705882353,0.9887005649717514,1996,5
35,abreubo01,2001,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,1.0,162.0,159.0,4234.0,308.0,11.0,8.0,4.0,0.0,0.0,0.0,OF,4983000.0,532.1,2.80%,1.3840000000000001,200000.0,6896472.000000001,276800.0,6896472.000000001,0.2891156462585034,0.5425170068027211,0.3934659090909091,0.9755351681957186,1996,6
36,abreubo01,2002,157,572,102,176,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,1.0,154.0,153.0,4062.0,282.0,10.0,5.0,2.0,0.0,0.0,0.0,OF,6333333.0,540.5,1.60%,1.3630000000000002,200000.0,8632332.879,272600.00000000006,8632332.879,0.3076923076923077,0.5209790209790209,0.4131386861313869,0.9831649831649831,1996,7
37,abreubo01,2003,158,577,99,173,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,1.0,158.0,156.0,4120.0,304.0,6.0,6.0,0.0,0.0,0.0,0.0,OF,9100000.0,552.8,2.30%,1.3319999999999999,300000.0,12121199.999999998,399599.99999999994,12121199.999999998,0.29982668977469673,0.4679376083188908,0.40863309352517985,0.9810126582278481,1996,8
38,abreubo01,2004,159,574,118,173,47,1,30,105.0,40.0,5.0,127,116.0,10.0,5.0,0.0,7.0,5.0,1.0,158.0,157.0,4184.0,311.0,13.0,6.0,4.0,0.0,0.0,0.0,OF,10600000.0,567.6,2.70%,1.298,300000.0,13758800.0,389400.0,13758800.0,0.30139372822299654,0.5435540069686411,0.4277699859747546,0.9818181818181818,1996,9
39,abreubo01,2005,162,588,104,168,37,1,24,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0,1.0,158.0,158.0,4092.0,266.0,7.0,4.0,0.0,0.0,0.0,0.0,OF,13100000.0,586.9,3.40%,1.255,316000.0,16440499.999999998,396579.99999999994,16440499.999999998,0.2857142857142857,0.4744897959183674,0.4047287899860918,0.9855595667870036,1996,10
40,abreubo01,2006,156,548,98,163,41,2,15,107.0,30.0,6.0,124,138.0,6.0,3.0,2.0,9.0,13.0,3.0,154.0,149.0,3897.0,292.0,10.0,3.0,0.0,0.0,0.0,0.0,OF,13600000.0,605.8,3.20%,1.216,327000.0,16537600.0,397632.0,16537600.0,0.29744525547445255,0.46167883211678834,0.4239766081871345,0.9901639344262295,1996,11
41,abreubo01,2007,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,1.0,157.0,150.0,3999.0,313.0,6.0,4.0,1.0,0.0,0.0,0.0,OF,15000000.0,623.1,2.90%,1.182,380000.0,17730000.0,449160.0,17730000.0,0.28264462809917357,0.4446280991735537,0.36909871244635195,0.9876160990712074,1996,12
